feature,importance,normalized_importance,cumulative_importance
"Темп роста 1 Уставный капитал , RUB",50.0,0.00473260766682442,0.7116895409370566
K_17 3,48.99999999999999,0.004637955513487931,0.7163274964505445
Ускорение K_1,48.99999999999999,0.004637955513487931,0.7209654519640324
"Темп роста 2 Прибыль (убыток) от продажи, RUB",47.00000000000001,0.004448651206814955,0.7254141031708473
K_18 2,47.00000000000001,0.004448651206814955,0.7298627543776622
"Темп роста 2 Заёмные средства (долгосрочные), RUB",46.00000000000001,0.004353999053478467,0.7342167534311407
"Темп роста 2 Основные средства , RUB",45.0,0.004259346900141978,0.7384761003312826
"Темп роста 2 Капитал и резервы, RUB",43.99999999999999,0.004164694746805489,0.7426407950780881
"Темп роста 1 Прибыль (убыток) от продажи, RUB",42.99999999999999,0.004070042593469001,0.7467108376715571
Темп роста 2 K_5,42.99999999999999,0.004070042593469001,0.7507808802650261
Темп прироста 2 K_9,42.00000000000001,0.003975390440132513,0.7547562707051586
Темп прироста 1 K_20,41.00000000000001,0.003880738286796025,0.7586370089919546
"Темп роста 1 Дебиторская задолженность, RUB",40.0,0.003786086133459536,0.7624230951254142
"Ускорение Выручка, RUB",40.0,0.003786086133459536,0.7662091812588737
K_4 1,38.99999999999999,0.003691433980123047,0.7699006152389968
K_17 1,38.99999999999999,0.003691433980123047,0.7735920492191198
Темп прироста 1 K_14,38.99999999999999,0.003691433980123047,0.7772834831992429
Темп роста 2 K_9,38.0,0.003596781826786559,0.7808802650260295
Темп роста 1 f1_290,38.0,0.003596781826786559,0.784477046852816
Темп прироста 2 K_20,37.0,0.003502129673450071,0.7879791765262661
"Темп роста 2 Уставный капитал , RUB",37.0,0.003502129673450071,0.7914813061997162
Темп роста 1 K_12,36.00000000000001,0.003407477520113583,0.7948887837198299
Ускорение K_20,36.00000000000001,0.003407477520113583,0.7982962612399435
"Ускорение Долгосрочные обязательства, RUB",33.99999999999999,0.003218173213440605,0.8015144344533841
K_11 3,33.99999999999999,0.003218173213440605,0.8047326076668248
"Темп роста 1 Внеоборотные активы, RUB",33.99999999999999,0.003218173213440605,0.8079507808802654
